q,epsilon,scale_index,log_inverse_epsilon,occupied_boxes,moment_sum,scale_value,used_in_fit
2.0,0.2215887169161027,16,1.5069322418488742,29,0.05173696659999998,2.9615827316970837,True
2.0,0.29285624168491625,17,1.2280734330831877,20,0.0742612718,2.600165704066902,True
2.0,0.3870448797548027,18,0.9492146243175023,14,0.0903047196,2.4045655541442748,True
2.0,0.5115265363050838,19,0.6703558155518166,11,0.13977780480000002,1.9677012257352546,True
3.0,0.0025576326815254192,0,5.968673182099853,7300,1.58431804e-07,7.828970797445988,True
3.0,0.0033802203701808527,1,5.689814373334166,5249,2.76342772e-07,7.550811907123558,True
3.0,0.004467369311284743,2,5.410955564568481,3789,4.993065460000001e-07,7.2550228045856455,True
3.0,0.005904167887829444,3,5.132096755802794,2706,8.61794788e-07,6.982124329794939,True
3.0,0.007803070670611615,4,4.853237947037108,1919,1.5780399760000001e-06,6.679663501264071,True
3.0,0.010312699951515686,5,4.574379138271421,1374,3.1638016120000004e-06,6.331868105834093,True
3.0,0.013629478032352054,6,4.295520329505736,970,5.329497604e-06,6.071126791195225,True
3.0,0.018013000698916416,7,4.016661520740049,693,1.0342353957999999e-05,5.739631529640501,True
3.0,0.023806355122989932,8,3.7378027119743633,494,1.800764458e-05,5.462357095669134,True
3.0,0.031462972422801376,9,3.4589439032086773,351,3.284554291e-05,5.161847251149955,True
3.0,0.04158211656357214,10,3.1800850944429913,244,7.3441654174e-05,4.759509643874965,True
3.0,0.05495578722414137,11,2.9012262856773052,170,0.00012290640703,4.5020437053462645,True
3.0,0.07263070759776766,12,2.622367476911619,123,0.00022858226210199998,4.191807201609326,True
3.0,0.09599024875464056,13,2.3435086681459327,85,0.00038613335252800005,3.929663887645494,True
3.0,0.12686270257762117,14,2.0646498593802467,60,0.0008458496434180001,3.537584470304767,True
3.0,0.16766437751855415,15,1.7857910506145602,41,0.001487033059222,3.2554861897955982,True
3.0,0.2215887169161027,16,1.5069322418488742,29,0.0033751001516319997,2.845665140270148,True
3.0,0.29285624168491625,17,1.2280734330831877,20,0.007187599509508,2.467699014076697,True
3.0,0.3870448797548027,18,0.9492146243175023,14,0.009620952676821998,2.321905994176538,True
3.0,0.5115265363050838,19,0.6703558155518166,11,0.023948254272735996,1.865929924136522,True
4.0,0.0025576326815254192,0,5.968673182099853,7300,2.3774663872e-10,7.386605184159637,True
4.0,0.0033802203701808527,1,5.689814373334166,5249,4.922071044400001e-10,7.144040514674855,True
4.0,0.004467369311284743,2,5.410955564568481,3789,1.15447984776e-09,6.859871980889875,True
4.0,0.005904167887829444,3,5.132096755802794,2706,2.402718007419999e-09,6.615555079099571,True
4.0,0.007803070670611615,4,4.853237947037108,1919,5.523408382920001e-09,6.338090235511301,True
4.0,0.010312699951515686,5,4.574379138271421,1374,1.4407990027020001e-08,6.0184943070855015,True
4.0,0.013629478032352054,6,4.295520329505736,970,2.6216368750480005e-08,5.818960619930952,True
4.0,0.018013000698916416,7,4.016661520740049,693,6.301393294388e-08,5.526636659055768,True
4.0,0.023806355122989932,8,3.7378027119743633,494,1.2951428436767998e-07,5.286491552630776,True
4.0,0.031462972422801376,9,3.4589439032086773,351,2.9766324777154e-07,5.009101010151301,True
4.0,0.04158211656357214,10,3.1800850944429913,244,1.0637130724847602e-06,4.5845816240431,True
4.0,0.05495578722414137,11,2.9012262856773052,170,1.88662567532408e-06,4.393573560504451,True
4.0,0.07263070759776766,12,2.622367476911619,123,4.612122305959159e-06,4.095607478945761,True
4.0,0.09599024875464056,13,2.3435086681459327,85,9.435141711817858e-06,3.8570231198186806,True
4.0,0.12686270257762117,14,2.0646498593802467,60,3.209860391789472e-05,3.4488993401428214,True
4.0,0.16766437751855415,15,1.7857910506145602,41,7.238820698367361e-05,3.1778223862686534,True
4.0,0.2215887169161027,16,1.5069322418488742,29,0.00024899810391711965,2.7660217587730815,True
4.0,0.29285624168491625,17,1.2280734330831877,20,0.0008222442122521797,2.3678243706116113,True
4.0,0.3870448797548027,18,0.9492146243175023,14,0.0011629629768830762,2.2522614133675782,True
4.0,0.5115265363050838,19,0.6703558155518166,11,0.004634836329024679,1.7913847975188621,True
