centre_number,orbit_index,radius,count_excluding_self,mass,log_radius,log_mass,estimator
365,73445,0.010209664619486332,376,0.00376,-4.584420495583439,-5.583336321580334,knn
365,73445,0.01366280382943422,510,0.0051,-4.29307818752479,-5.2785147392518565,knn
365,73445,0.018348833045544417,691,0.00691,-3.9981893007520184,-4.974785641202558,knn
365,73445,0.0248076467468702,937,0.00937,-3.696603336769804,-4.670242182731807,knn
365,73445,0.03419258790913136,1270,0.0127,-3.3757463862056185,-4.3661532855175915,knn
365,73445,0.044447712910986946,1721,0.01721,-3.113441771417138,-4.062264668758689,knn
365,73445,0.056908001996136916,2333,0.02333,-2.8663193151166566,-3.7580151929487986,knn
365,73445,0.07955808030756296,3162,0.03162,-2.5312679541516876,-3.4539654472008112,knn
366,73499,0.002140063421353982,18,0.00018,-6.146919814240798,-8.622553707074063,knn
366,73499,0.0026010001754304592,24,0.00024,-5.951859225068312,-8.334871634622283,knn
366,73499,0.003014513950566523,33,0.00033,-5.804316672224483,-8.016417903503749,knn
366,73499,0.003994744573583455,44,0.00044,-5.5227756383327185,-7.728735831051967,knn
366,73499,0.005024281302383038,60,0.0006,-5.293472859667348,-7.418580902748128,knn
366,73499,0.0061686341484166966,82,0.00082,-5.088277835357346,-7.106206217705975,knn
366,73499,0.008484150543200173,111,0.00111,-4.769555498071245,-6.803395263657894,knn
366,73499,0.010401929396647684,151,0.00151,-4.565763971132884,-6.495645628155304,knn
366,73499,0.01604027429180667,204,0.00204,-4.13265257620328,-6.194805471126012,knn
366,73499,0.02229139917002518,277,0.00277,-3.8035543623554124,-5.88890795878289,knn
366,73499,0.029091017065586932,376,0.00376,-3.5373258443640725,-5.583336321580334,knn
366,73499,0.038166319871721206,510,0.0051,-3.265801831027682,-5.2785147392518565,knn
366,73499,0.051362311227989794,691,0.00691,-2.9688506200679528,-4.974785641202558,knn
366,73499,0.06567028039611043,937,0.00937,-2.7231088090135818,-4.670242182731807,knn
366,73499,0.08673151878083081,1270,0.0127,-2.4449379228418335,-4.3661532855175915,knn
366,73499,0.09795826269959303,1721,0.01721,-2.323213781849298,-4.062264668758689,knn
366,73499,0.11217902789694126,2333,0.02333,-2.1876592205042877,-3.7580151929487986,knn
366,73499,0.1397014477744615,3162,0.03162,-1.968247649319367,-3.4539654472008112,knn
367,73512,0.001688137063277714,18,0.00018,-6.384129687480564,-8.622553707074063,knn
367,73512,0.0023265506665611246,24,0.00024,-6.063368508897742,-8.334871634622283,knn
367,73512,0.0032029674627812596,33,0.00033,-5.7436775667641085,-8.016417903503749,knn
367,73512,0.004250370377762813,44,0.00044,-5.460749152134055,-7.728735831051967,knn
367,73512,0.005444418348174073,60,0.0006,-5.213164351411734,-7.418580902748128,knn
367,73512,0.00741736545200379,82,0.00082,-4.903931345228556,-7.106206217705975,knn
367,73512,0.009794832064690716,111,0.00111,-4.62590037273611,-6.803395263657894,knn
367,73512,0.01380278635993615,151,0.00151,-4.282884797059786,-6.495645628155304,knn
367,73512,0.018049595763786713,204,0.00204,-4.014631989812104,-6.194805471126012,knn
367,73512,0.02382667192493616,277,0.00277,-3.7369496566706206,-5.88890795878289,knn
367,73512,0.030844479596532172,376,0.00376,-3.4787974880293335,-5.583336321580334,knn
367,73512,0.041530055405035494,510,0.0051,-3.181337887243676,-5.2785147392518565,knn
367,73512,0.05493862584820819,691,0.00691,-2.9015386104915137,-4.974785641202558,knn
367,73512,0.07071213422716542,937,0.00937,-2.649138091002,-4.670242182731807,knn
367,73512,0.09239661227488216,1270,0.0127,-2.3816649646983796,-4.3661532855175915,knn
367,73512,0.10838809529534324,1721,0.01721,-2.222037018006147,-4.062264668758689,knn
367,73512,0.1382097855813685,2333,0.02333,-1.9789825627647823,-3.7580151929487986,knn
367,73512,0.17749243566027467,3162,0.03162,-1.7288272869732066,-3.4539654472008112,knn
368,74016,0.0017440982301931097,18,0.00018,-6.351517630429511,-8.622553707074063,knn
368,74016,0.001863261445363427,24,0.00024,-6.285426861533331,-8.334871634622283,knn
368,74016,0.002130790695405335,33,0.00033,-6.151262149645187,-8.016417903503749,knn
368,74016,0.002753125854271567,44,0.00044,-5.895018338548176,-7.728735831051967,knn
368,74016,0.00397150350269154,60,0.0006,-5.528610539934649,-7.418580902748128,knn
368,74016,0.0051009744017436786,82,0.00082,-5.278323698335908,-7.106206217705975,knn
368,74016,0.006742054941837667,111,0.00111,-4.999390513013667,-6.803395263657894,knn
368,74016,0.008756566000764309,151,0.00151,-4.737951459934639,-6.495645628155304,knn
368,74016,0.012217070481181059,204,0.00204,-4.404921085469787,-6.194805471126012,knn
368,74016,0.014651328314705857,277,0.00277,-4.223224277683539,-5.88890795878289,knn
368,74016,0.018329773389495433,376,0.00376,-3.999228580027706,-5.583336321580334,knn
368,74016,0.02392750768468745,510,0.0051,-3.7327265327287664,-5.2785147392518565,knn
368,74016,0.02793813837337126,691,0.00691,-3.5777625568158506,-4.974785641202558,knn
368,74016,0.034017283780200476,937,0.00937,-3.3808865370537897,-4.670242182731807,knn
368,74016,0.043643634299625755,1270,0.0127,-3.1316978423916124,-4.3661532855175915,knn
368,74016,0.052929745840366034,1721,0.01721,-2.9387897949305706,-4.062264668758689,knn
368,74016,0.06299617871909782,2333,0.02333,-2.764681209682624,-3.7580151929487986,knn
368,74016,0.08354090117296148,3162,0.03162,-2.4824189326483137,-3.4539654472008112,knn
369,74379,0.0009104415231486097,18,0.00018,-7.001580885846923,-8.622553707074063,knn
369,74379,0.0013912836014056999,24,0.00024,-6.577528503712391,-8.334871634622283,knn
369,74379,0.0019626854978280787,33,0.00033,-6.233441591588274,-8.016417903503749,knn
369,74379,0.002586654256758694,44,0.00044,-5.957390031111463,-7.728735831051967,knn
369,74379,0.0031336002338774845,60,0.0006,-5.765572700977257,-7.418580902748128,knn
369,74379,0.003633452405752408,82,0.00082,-5.617572006726713,-7.106206217705975,knn
369,74379,0.004597911790569707,111,0.00111,-5.382153037129277,-6.803395263657894,knn
369,74379,0.00509529114665249,151,0.00151,-5.2794384703380235,-6.495645628155304,knn
369,74379,0.006030082606580715,204,0.00204,-5.11099456906976,-6.194805471126012,knn
369,74379,0.00776820504166524,277,0.00277,-4.857716152658512,-5.88890795878289,knn
369,74379,0.008687699334291704,376,0.00376,-4.745847123400018,-5.583336321580334,knn
369,74379,0.01045552548351681,510,0.0051,-4.560624685909147,-5.2785147392518565,knn
369,74379,0.012846185066859353,691,0.00691,-4.354708393675551,-4.974785641202558,knn
369,74379,0.016483624741853775,937,0.00937,-4.10538783075779,-4.670242182731807,knn
369,74379,0.020457632839170743,1270,0.0127,-3.8893992221622997,-4.3661532855175915,knn
369,74379,0.027087564568579903,1721,0.01721,-3.608680528418582,-4.062264668758689,knn
369,74379,0.035216038111014404,2333,0.02333,-3.3462536719912563,-3.7580151929487986,knn
369,74379,0.04639709412335753,3162,0.03162,-3.0705184483628356,-3.4539654472008112,knn
370,74389,0.0013145493415707937,18,0.00018,-6.634261378119356,-8.622553707074063,knn
370,74389,0.001625720986275084,24,0.00024,-6.4218038777374264,-8.334871634622283,knn
370,74389,0.002374540356545516,33,0.00033,-6.042951394311769,-8.016417903503749,knn
370,74389,0.002940091057723353,44,0.00044,-5.829314726096424,-7.728735831051967,knn
370,74389,0.0038131544145643976,60,0.0006,-5.569298502056926,-7.418580902748128,knn
370,74389,0.005263015346326103,82,0.00082,-5.24705115672531,-7.106206217705975,knn
370,74389,0.007098251140126059,111,0.00111,-4.947906843568305,-6.803395263657894,knn
370,74389,0.009817525585639137,151,0.00151,-4.623586165389797,-6.495645628155304,knn
370,74389,0.01400136494731923,204,0.00204,-4.26860045788224,-6.194805471126012,knn
370,74389,0.019700414036083455,277,0.00277,-3.9271156263989755,-5.88890795878289,knn
370,74389,0.023252803384676696,376,0.00376,-3.761329578532416,-5.583336321580334,knn
370,74389,0.024812237362338885,510,0.0051,-3.6964183054838915,-5.2785147392518565,knn
370,74389,0.028606757128434843,691,0.00691,-3.5541123258301046,-4.974785641202558,knn
370,74389,0.036066096898003164,937,0.00937,-3.3224019990150575,-4.670242182731807,knn
370,74389,0.04320328647002781,1270,0.0127,-3.1418387109305934,-4.3661532855175915,knn
370,74389,0.05040650229229167,1721,0.01721,-2.9876350984904247,-4.062264668758689,knn
370,74389,0.06189022477422273,2333,0.02333,-2.782393031403196,-3.7580151929487986,knn
370,74389,0.08178222769678513,3162,0.03162,-2.5036953242994398,-3.4539654472008112,knn
371,74532,0.0025031752796667206,18,0.00018,-5.990195241151046,-8.622553707074063,knn
371,74532,0.0036745620749624236,24,0.00024,-5.606321316693375,-8.334871634622283,knn
371,74532,0.004230803372220801,33,0.00033,-5.46536338144612,-8.016417903503749,knn
371,74532,0.004335936862605163,44,0.00044,-5.4408175761581035,-7.728735831051967,knn
371,74532,0.004812565421545917,60,0.0006,-5.33652498537317,-7.418580902748128,knn
371,74532,0.005943376687510726,82,0.00082,-5.125477841212225,-7.106206217705975,knn
371,74532,0.007187770809222289,111,0.00111,-4.935374195763619,-6.803395263657894,knn
371,74532,0.009473188360521224,151,0.00151,-4.659289748350898,-6.495645628155304,knn
371,74532,0.011661481807291693,204,0.00204,-4.451464021460977,-6.194805471126012,knn
371,74532,0.015685847707885094,277,0.00277,-4.1549963930310225,-5.88890795878289,knn
371,74532,0.021611539403984654,376,0.00376,-3.8345278752769945,-5.583336321580334,knn
371,74532,0.028148250172880397,510,0.0051,-3.570270087149802,-5.2785147392518565,knn
371,74532,0.03727382643860909,691,0.00691,-3.289463902700629,-4.974785641202558,knn
371,74532,0.05059644378627965,937,0.00937,-2.9838739860621,-4.670242182731807,knn
371,74532,0.06726644092751537,1270,0.0127,-2.69909381562068,-4.3661532855175915,knn
371,74532,0.08166637787436014,1721,0.01721,-2.505112893344097,-4.062264668758689,knn
371,74532,0.09836586185844876,2333,0.02333,-2.3190614674517116,-3.7580151929487986,knn
371,74532,0.12772823711683085,3162,0.03162,-2.0578504196602836,-3.4539654472008112,knn
372,74813,0.0011455404936805999,18,0.00018,-6.771878706472394,-8.622553707074063,knn
372,74813,0.0016452902447323197,24,0.00024,-6.409838469761849,-8.334871634622283,knn
372,74813,0.002155355363048302,33,0.00033,-6.139799667374664,-8.016417903503749,knn
372,74813,0.0029364271049131686,44,0.00044,-5.8305617071091795,-7.728735831051967,knn
372,74813,0.004338061503412317,60,0.0006,-5.440327688851237,-7.418580902748128,knn
372,74813,0.005257079827084045,82,0.00082,-5.2481795723478,-7.106206217705975,knn
372,74813,0.006023727655328402,111,0.00111,-5.112048999445389,-6.803395263657894,knn
372,74813,0.007652019166862898,151,0.00151,-4.872785722589848,-6.495645628155304,knn
372,74813,0.010063396828177758,204,0.00204,-4.598850514427281,-6.194805471126012,knn
372,74813,0.013841808998483652,277,0.00277,-4.280061629351235,-5.88890795878289,knn
372,74813,0.018682471819511,376,0.00376,-3.9801695305505826,-5.583336321580334,knn
372,74813,0.025920272214858653,510,0.0051,-3.6527299054367495,-5.2785147392518565,knn
372,74813,0.03471466216166059,691,0.00691,-3.3605931405926373,-4.974785641202558,knn
372,74813,0.03824524503909958,937,0.00937,-3.2637360391403356,-4.670242182731807,knn
372,74813,0.042730410453584146,1270,0.0127,-3.152844423624991,-4.3661532855175915,knn
