centre_number,orbit_index,x,y,local_dimension,intercept,r_squared,fit_points,min_fit_count,max_fit_count,estimator,fit_min_radius,fit_max_radius,fit_min_mass,fit_max_mass
118,11934,-0.08478338778619116,0.2789467769050849,1.0281855355473122,-1.2516780550285085,0.9976097712511285,18,15,1947,knn,0.0013618338865087588,0.13351660885822494,0.0003,0.03894
119,12055,-0.08309761094832319,-0.30366896279291883,1.053958556106092,-1.638828902980217,0.9925183925950553,18,15,1947,knn,0.002930117364739058,0.20661565938201293,0.0003,0.03894
120,12087,-0.5474086679646206,0.3245347726763131,1.0498677564756242,-0.5906880083376231,0.9928118723173693,18,15,1947,knn,0.0009925902611215677,0.09077309197955309,0.0003,0.03894
121,12090,1.1361840371770962,-0.09326946091562548,1.3095132738855846,0.1720712067151818,0.9826250728661003,18,15,1947,knn,0.001423214057986031,0.08427943237269729,0.0003,0.03894
122,12186,-0.5565541709569267,-0.35246478634619993,1.1414130461203613,-1.6931308173810187,0.9654214389604551,18,15,1947,knn,0.0025707769421201613,0.20149857497871335,0.0003,0.03894
123,12188,0.7689902442076619,0.06416449510812818,1.2421654063708567,-0.9168654906701585,0.9593067147459943,18,15,1947,knn,0.0020725680273129678,0.09418539523433937,0.0003,0.03894
124,12274,0.3058929820811094,0.21127287962067848,0.9611196202666316,-0.2845482591896592,0.9850361469687176,18,15,1947,knn,0.00035207715593618704,0.053801793069837,0.0003,0.03894
125,12288,1.0826774629047513,-0.12141984549036441,1.3057604033070607,0.11893658542136397,0.9907795556222248,18,15,1947,knn,0.0020456302799656285,0.09094833495359277,0.0003,0.03894
126,12383,-1.1307860546947894,0.3728249728410062,1.3892469771222369,0.5296899234801041,0.9440850582596825,18,15,1947,knn,0.0031694156061635617,0.09393621396616791,0.0003,0.03894
127,12403,-0.9173100403022658,-0.38445361701381975,0.7244156055630725,-2.3552293929286776,0.9524576241352358,18,15,1947,knn,0.0006751702954136714,0.4059963540511704,0.0003,0.03894
128,12414,0.8206094958998558,0.14241788214943799,1.450683864095551,0.5096775486940428,0.9866270839563608,18,15,1947,knn,0.0025296886404212932,0.08972591788474384,0.0003,0.03894
129,12454,1.2065648633619541,-0.07644229778425005,1.151146530651067,-0.2956519035224876,0.9965730105711609,18,15,1947,knn,0.0009991998849362082,0.07236445338364071,0.0003,0.03894
130,12513,0.7031618792892422,0.0300628721690434,1.0806452105065454,-0.6201280597900195,0.9965483912498991,18,15,1947,knn,0.0011244056665547838,0.07754756808816733,0.0003,0.03894
131,12522,-1.062241864049716,0.3653652911375738,1.1869363279625191,-0.14752834446474758,0.985284761629951,18,15,1947,knn,0.0018249363861971982,0.08519226854889055,0.0003,0.03894
132,12529,-1.2356067014484058,0.3749011872928898,1.2486143408283035,0.012012479100673894,0.9906126517409559,18,15,1947,knn,0.0017281010352026712,0.10151211910989802,0.0003,0.03894
133,12658,-1.1473245102976526,0.3694620510953589,0.8687007475763234,-1.249431137601145,0.994121603844685,18,15,1947,knn,0.00029229387372028715,0.09472113207087753,0.0003,0.03894
134,12679,0.9352805352298764,0.12443354931482459,1.4711188302635674,1.0334881039226442,0.9739821352840237,18,15,1947,knn,0.0019991076277426495,0.06911557821048811,0.0003,0.03894
135,12796,0.3473185486927469,0.1663272482212758,1.4568290652920768,0.09856304974222362,0.9208178690101934,18,15,1947,knn,0.0024483594425092894,0.061209783179553355,0.0003,0.03894
